iteration_number,reward,is_target_reached
1,0.0,False
2,-0.08,False
3,-0.08,False
4,-0.05,False
5,-0.05,False
6,-0.05,False
7,0.7,False
8,0.7,False
9,0.95,False
10,0.95,False
11,0.95,False
12,0.95,False
13,0.95,False
14,0.95,False
15,0.95,False
16,0.95,False
17,0.95,False
18,0.95,False
19,0.77,False
20,0.77,False
21,1.37,False
22,1.37,False
23,1.37,False
24,1.37,False
25,1.37,False
26,1.37,False
27,1.37,False
28,1.37,False
29,1.37,False
30,1.37,False
31,0.53,False
32,0.53,False
33,0.67,False
34,0.67,False
35,0.67,False
36,0.67,False
37,0.67,False
38,0.67,False
39,0.67,False
40,0.67,False
41,0.67,False
42,0.67,False
43,0.13,False
44,0.13,False
45,0.68,False
46,0.68,False
47,0.68,False
48,0.68,False
49,0.68,False
50,0.68,False
51,0.68,False
52,0.68,False
53,0.34,False
54,0.34,False
55,0.34,False
56,0.34,False
57,0.34,False
58,0.34,False
59,0.34,False
60,0.5,False
61,0.5,False
62,0.5,False
63,0.5,False
64,0.5,False
65,0.5,False
66,0.5,False
67,0.5,False
68,0.5,False
69,0.15,False
70,0.15,False
71,0.15,False
72,0.2,False
73,0.2,False
74,0.22,False
75,0.22,False
76,0.22,False
77,0.22,False
78,0.22,False
79,0.22,False
80,0.22,False
81,0.22,False
82,0.54,False
83,0.54,False
84,0.54,False
85,0.54,False
86,0.54,False
87,0.54,False
88,0.54,False
89,0.54,False
90,0.54,False
91,0.54,False
92,0.34,False
93,0.34,False
94,0.34,False
95,0.34,False
96,0.89,False
97,0.89,False
98,0.89,False
99,0.89,False
100,0.89,False
101,0.89,False
102,0.89,False
103,0.89,False
104,0.89,False
105,0.89,False
106,0.6,False
107,0.6,False
108,0.6,False
109,0.6,False
110,0.6,False
111,0.6,False
112,0.6,False
113,0.6,False
114,0.6,False
115,0.44,False
116,0.44,False
117,0.44,False
118,0.44,False
119,0.44,False
120,0.2,False
121,0.2,False
122,0.2,False
123,0.2,False
124,0.2,False
125,0.23,False
126,0.23,False
127,0.23,False
128,0.23,False
129,0.23,False
130,0.23,False
131,0.23,False
132,0.23,False
133,0.23,False
134,0.23,False
135,0.2,False
136,0.2,False
137,0.2,False
138,0.2,False
139,0.2,False
140,0.2,False
141,0.2,False
142,0.2,False
143,0.18,False
144,0.18,False
145,0.18,False
146,0.18,False
147,0.18,False
148,0.18,False
149,0.18,False
150,0.18,False
151,0.18,False
152,0.13,False
153,0.13,False
154,0.13,False
155,0.13,False
156,0.13,False
157,0.19,False
158,0.19,False
159,0.19,False
160,0.19,False
161,0.19,False
162,0.19,False
163,0.19,False
164,0.19,False
165,0.19,False
166,0.19,False
167,0.4,False
168,0.4,False
169,0.4,False
170,0.4,False
171,0.4,False
172,0.62,False
173,0.62,False
174,0.62,False
175,0.62,False
176,0.62,False
177,0.62,False
178,0.62,False
179,0.62,False
180,0.62,False
181,0.62,False
182,0.5,False
183,0.5,False
184,0.5,False
185,0.5,False
186,0.5,False
187,0.5,False
188,0.68,False
189,0.68,False
190,0.68,False
191,0.68,False
192,0.68,False
193,0.71,False
194,0.71,False
195,0.71,False
196,0.71,False
197,0.71,False
198,0.71,False
199,0.71,False
200,0.71,False
201,0.71,False
202,0.71,False
203,0.71,False
204,0.71,False
205,0.71,False
206,0.68,False
207,0.68,False
208,0.68,False
209,0.68,False
210,0.08,False
211,0.08,False
212,0.08,False
213,0.08,False
214,0.08,False
215,0.48,False
216,0.48,False
217,0.48,False
218,0.48,False
219,0.48,False
220,0.48,False
221,0.48,False
222,0.48,False
223,0.48,False
224,0.48,False
225,0.1,False
226,0.1,False
227,0.2,False
228,0.2,False
229,0.2,False
230,0.2,False
231,0.2,False
232,0.2,False
233,0.2,False
234,0.58,False
235,0.58,False
236,0.58,False
237,0.58,False
238,0.58,False
239,0.58,False
240,0.58,False
241,0.58,False
242,0.58,False
243,0.58,False
244,0.74,False
245,0.74,False
246,0.74,False
247,0.74,False
248,0.74,False
249,0.74,False
250,0.74,False
251,0.77,False
252,0.77,False
253,0.77,False
254,0.77,False
255,0.77,False
256,0.77,False
257,0.77,False
258,0.77,False
259,0.77,False
260,0.77,False
261,0.56,False
262,0.56,False
263,0.48,False
264,0.48,False
265,0.48,False
266,0.46,False
267,0.46,False
268,0.46,False
269,0.46,False
270,0.46,False
271,0.46,False
272,0.46,False
273,0.46,False
274,0.46,False
275,0.46,False
276,0.09,False
277,0.09,False
278,0.09,False
279,0.09,False
280,0.25,False
281,0.67,False
282,0.67,False
283,0.67,False
284,0.67,False
285,0.67,False
286,0.67,False
287,0.67,False
288,0.67,False
289,0.67,False
290,0.15,False
291,0.15,False
292,0.15,False
293,0.15,False
294,0.58,False
295,0.58,False
296,0.58,False
297,0.69,False
298,0.69,False
299,0.69,False
300,0.69,False
301,0.69,False
302,0.69,False
303,0.69,False
304,0.69,False
305,0.69,False
306,0.69,False
307,0.85,False
308,0.85,False
309,0.85,False
310,0.85,False
311,0.85,False
312,0.85,False
313,0.85,False
314,0.85,False
315,0.85,False
316,0.85,False
317,0.77,False
318,0.77,False
319,0.77,False
320,0.72,False
321,0.72,False
322,0.72,False
323,0.72,False
324,0.72,False
325,0.72,False
326,0.72,False
327,0.72,False
328,0.19,False
329,0.86,False
330,0.86,False
331,0.86,False
332,0.86,False
333,0.86,False
334,0.86,False
335,0.86,False
