iteration_number,reward,is_target_reached
1,0.0,False
2,0.0,False
3,-0.11,False
4,-0.11,False
5,0.03,False
6,0.03,False
7,0.03,False
8,0.03,False
9,0.03,False
10,0.13,False
11,0.13,False
12,0.13,False
13,0.13,False
14,0.13,False
15,0.13,False
16,0.13,False
17,0.13,False
18,0.13,False
19,0.13,False
20,0.13,False
21,0.67,False
22,0.67,False
23,0.67,False
24,0.67,False
25,0.67,False
26,0.67,False
27,0.67,False
28,0.67,False
29,0.67,False
30,0.69,False
31,0.69,False
32,0.69,False
33,0.69,False
34,0.69,False
35,0.69,False
36,0.69,False
37,0.69,False
38,0.69,False
39,0.69,False
40,0.69,False
41,0.69,False
42,0.69,False
43,0.09,False
44,0.09,False
45,0.09,False
46,0.09,False
47,0.09,False
48,0.16,False
49,0.16,False
50,0.16,False
51,0.16,False
52,0.16,False
53,0.16,False
54,0.16,False
55,0.16,False
56,0.16,False
57,0.16,False
58,0.16,False
59,0.43,False
60,0.43,False
61,0.43,False
62,0.43,False
63,0.43,False
64,0.43,False
65,0.43,False
66,0.43,False
67,0.43,False
68,0.68,False
69,0.68,False
70,0.68,False
71,0.86,False
72,0.86,False
73,0.86,False
74,0.86,False
75,0.86,False
76,0.86,False
77,0.86,False
78,0.86,False
79,0.86,False
80,0.86,False
81,0.86,False
82,0.86,False
83,0.86,False
84,0.65,False
85,0.65,False
86,0.65,False
87,0.65,False
88,0.65,False
89,0.68,False
90,0.68,False
91,0.68,False
92,0.68,False
93,0.68,False
94,0.68,False
95,0.68,False
96,1.12,False
97,1.12,False
98,1.12,False
99,1.12,False
100,1.12,False
101,1.12,False
102,1.12,False
103,1.12,False
104,1.12,False
105,1.12,False
106,1.12,False
107,1.12,False
108,1.12,False
109,0.67,False
110,0.67,False
111,0.67,False
112,0.67,False
113,0.67,False
114,0.67,False
115,0.67,False
116,0.29,False
117,0.29,False
118,0.29,False
119,0.29,False
120,0.54,False
121,0.54,False
122,0.54,False
123,0.54,False
124,0.54,False
125,0.54,False
126,0.54,False
127,0.54,False
128,0.54,False
129,0.54,False
130,0.54,False
131,0.54,False
132,0.54,False
133,0.54,False
134,0.15,False
135,0.15,False
136,0.15,False
137,0.15,False
138,0.62,False
139,0.62,False
140,0.62,False
141,0.68,False
142,0.68,False
143,0.68,False
144,0.68,False
145,0.68,False
146,0.68,False
147,0.68,False
148,0.68,False
149,0.68,False
150,0.68,False
151,0.68,False
152,0.68,False
153,0.68,False
154,0.68,False
155,0.64,False
156,0.44,False
157,0.44,False
158,0.44,False
159,0.44,False
160,0.44,False
161,0.44,False
162,0.44,False
163,0.44,False
164,0.44,False
165,0.44,False
166,0.16,False
167,0.16,False
168,0.16,False
169,0.16,False
170,0.16,False
171,0.16,False
172,0.16,False
173,0.16,False
174,0.16,False
175,0.17,False
176,0.17,False
177,0.17,False
178,0.17,False
179,0.17,False
180,0.17,False
181,0.18,False
182,0.18,False
183,0.18,False
184,0.18,False
185,0.18,False
186,0.18,False
187,0.18,False
188,0.18,False
189,0.18,False
190,0.18,False
191,0.18,False
192,0.18,False
193,0.18,False
194,0.18,False
195,0.61,False
196,0.61,False
197,0.61,False
198,0.75,False
199,0.75,False
200,0.75,False
201,0.75,False
202,0.75,False
203,0.75,False
204,0.75,False
205,0.75,False
206,0.75,False
207,0.75,False
208,0.75,False
209,0.75,False
210,0.75,False
211,0.75,False
212,0.24,False
213,0.24,False
214,0.24,False
215,0.24,False
216,0.24,False
217,0.24,False
218,0.24,False
219,0.24,False
220,0.24,False
221,0.15,False
222,0.15,False
223,0.17,False
224,0.17,False
225,0.69,False
226,0.69,False
227,0.69,False
228,0.69,False
229,0.69,False
230,0.69,False
231,0.69,False
232,0.69,False
233,0.69,False
234,0.69,False
235,0.69,False
236,0.69,False
237,0.69,False
238,0.69,False
239,0.3,False
240,0.3,False
241,0.3,False
242,0.22,False
243,0.22,False
244,0.22,False
245,0.22,False
246,0.22,False
247,0.53,False
248,0.53,False
249,0.53,False
250,0.53,False
251,0.53,False
252,0.53,False
253,0.53,False
254,0.53,False
255,0.53,False
256,0.53,False
257,0.53,False
258,0.53,False
259,0.53,False
260,0.08,False
261,0.08,False
262,0.08,False
263,0.08,False
264,0.08,False
265,0.08,False
266,0.11,False
267,0.19,False
268,0.19,False
269,0.2,False
270,0.2,False
271,0.2,False
272,0.2,False
273,0.46,False
274,0.46,False
275,0.66,False
276,0.66,False
277,0.66,False
278,0.66,False
279,0.66,False
280,0.66,False
281,0.66,False
282,0.66,False
283,0.66,False
284,0.66,False
285,0.66,False
286,0.66,False
287,0.66,False
288,0.66,False
289,0.29,False
290,0.29,False
291,0.29,False
292,0.29,False
293,0.29,False
294,0.29,False
295,0.29,False
296,0.14,False
297,0.14,False
298,0.14,False
299,0.83,False
300,0.83,False
301,0.83,False
302,0.83,False
303,0.83,False
304,0.83,False
305,0.83,False
306,0.83,False
307,0.83,False
308,0.83,False
309,0.83,False
310,0.83,False
311,0.83,False
312,0.47,False
313,0.47,False
314,0.47,False
315,0.47,False
316,0.47,False
317,0.37,False
318,0.37,False
319,0.37,False
320,0.37,False
321,0.37,False
322,0.37,False
323,0.37,False
324,0.46,False
325,0.46,False
326,0.46,False
327,0.46,False
328,0.46,False
329,0.46,False
330,0.46,False
331,0.46,False
332,0.46,False
333,0.46,False
334,0.46,False
335,0.46,False
336,0.46,False
337,0.29,False
338,0.29,False
339,0.73,False
340,0.73,False
341,0.73,False
342,0.73,False
343,0.73,False
344,0.73,False
345,0.73,False
346,0.73,False
347,0.73,False
348,0.73,False
349,0.73,False
350,0.73,False
351,0.73,False
352,0.73,False
353,0.54,False
354,0.54,False
355,0.54,False
356,0.54,False
357,0.54,False
358,0.54,False
359,0.54,False
360,0.25,False
361,0.25,False
362,0.25,False
363,0.25,False
364,0.25,False
365,0.25,False
366,0.25,False
367,0.25,False
368,0.25,False
369,0.12,False
370,0.12,False
371,0.46,False
372,0.46,False
373,0.46,False
374,0.46,False
375,0.46,False
376,0.46,False
377,0.46,False
378,0.46,False
379,0.46,False
380,0.61,False
381,0.61,False
382,0.61,False
383,0.61,False
384,0.61,False
385,0.65,False
386,0.65,False
387,0.65,False
388,0.65,False
389,0.65,False
390,0.65,False
391,0.65,False
392,0.65,False
393,0.65,False
394,0.65,False
395,0.65,False
396,0.65,False
397,0.65,False
398,0.62,False
399,0.62,False
400,0.7,False
401,0.7,False
402,0.7,False
403,0.7,False
404,0.7,False
405,0.7,False
406,0.7,False
407,0.7,False
408,0.7,False
409,0.7,False
410,0.7,False
411,0.7,False
412,0.64,False
413,0.64,False
414,0.64,False
415,0.64,False
416,0.64,False
417,0.64,False
418,0.64,False
419,0.65,False
420,0.65,False
421,0.65,False
422,0.65,False
423,0.79,False
424,0.79,False
425,0.79,False
426,0.79,False
427,0.79,False
428,0.79,False
429,0.79,False
430,0.79,False
431,0.79,False
432,0.79,False
433,0.79,False
434,0.79,False
435,0.79,False
436,0.79,False
437,0.51,False
438,0.51,False
439,0.51,False
440,0.51,False
441,0.51,False
442,0.51,False
443,0.51,False
444,0.51,False
445,0.51,False
446,0.31,False
447,0.31,False
448,0.31,False
449,0.31,False
450,0.31,False
451,0.31,False
452,0.31,False
453,0.31,False
454,0.31,False
455,0.31,False
456,0.31,False
457,0.78,False
458,0.78,False
459,0.78,False
460,0.78,False
461,0.78,False
462,0.78,False
463,0.78,False
464,0.78,False
465,0.78,False
466,0.78,False
467,0.78,False
468,0.78,False
469,0.78,False
470,0.78,False
471,0.74,False
472,0.74,False
473,0.83,False
474,0.83,False
475,0.83,False
476,0.83,False
477,0.83,False
478,0.83,False
479,0.83,False
480,0.83,False
481,0.83,False
482,0.83,False
483,0.83,False
484,0.83,False
485,0.83,False
486,0.13,False
487,0.47,False
488,0.47,False
489,0.47,False
490,0.47,False
491,0.47,False
492,0.47,False
493,0.47,False
494,0.47,False
495,0.47,False
496,0.47,False
497,0.47,False
498,0.47,False
499,0.47,False
500,0.27,False
