iteration_number,reward,is_target_reached
1,0.0,False
2,0.0,False
3,0.63,False
4,0.63,False
5,1.07,False
6,1.07,False
7,1.41,False
8,1.41,False
9,1.41,False
10,1.41,False
11,1.41,False
12,1.41,False
13,1.41,False
14,1.41,False
15,1.41,False
16,1.41,False
17,1.41,False
18,1.41,False
19,0.93,False
20,0.93,False
21,0.77,False
22,0.77,False
23,0.77,False
24,0.77,False
25,0.77,False
26,0.77,False
27,0.77,False
28,0.77,False
29,0.77,False
30,0.75,False
31,0.75,False
32,0.58,False
33,0.58,False
34,0.89,False
35,0.89,False
36,0.89,False
37,0.89,False
38,0.89,False
39,0.89,False
40,0.89,False
41,0.89,False
42,0.89,False
43,0.89,False
44,0.89,False
45,0.89,False
46,0.89,False
47,0.89,False
48,0.83,False
49,0.83,False
50,0.74,False
51,0.74,False
52,0.74,False
53,0.74,False
54,0.74,False
55,0.74,False
56,0.74,False
57,0.72,False
58,0.72,False
59,0.72,False
60,0.72,False
61,0.72,False
62,0.72,False
63,0.72,False
64,0.72,False
65,0.72,False
66,0.63,False
67,0.63,False
68,0.63,False
69,0.63,False
70,0.63,False
71,0.63,False
72,0.63,False
73,0.63,False
74,0.63,False
75,0.8,False
76,0.8,False
77,0.82,False
78,0.82,False
79,0.82,False
80,0.82,False
81,0.82,False
82,0.82,False
83,0.82,False
84,0.82,False
85,0.82,False
86,0.82,False
87,0.82,False
88,0.82,False
89,0.82,False
90,0.82,False
91,0.77,False
92,0.77,False
93,0.77,False
94,0.77,False
95,0.74,False
96,0.74,False
97,0.74,False
98,0.74,False
99,0.74,False
100,0.17,False
101,0.17,False
102,0.17,False
103,0.17,False
104,0.17,False
105,0.79,False
106,0.79,False
107,0.79,False
108,0.79,False
109,0.79,False
110,0.79,False
111,0.79,False
112,0.79,False
113,0.79,False
114,0.79,False
115,0.79,False
116,0.79,False
117,0.79,False
118,0.79,False
119,0.61,False
120,0.61,False
121,0.61,False
122,0.61,False
123,0.09,False
124,0.09,False
125,0.09,False
126,0.09,False
127,0.13,False
128,0.15,False
129,0.15,False
130,0.15,False
131,0.15,False
132,0.15,False
133,0.15,False
134,0.15,False
135,0.15,False
136,0.15,False
137,0.67,False
138,0.67,False
139,0.67,False
140,0.67,False
141,0.67,False
142,0.67,False
143,0.67,False
144,0.67,False
145,0.67,False
146,0.67,False
147,0.67,False
148,0.67,False
149,0.67,False
150,0.64,False
151,0.64,False
152,0.64,False
153,0.08,False
154,0.08,False
155,0.08,False
156,0.09,False
157,0.09,False
158,0.09,False
159,0.09,False
160,0.09,False
161,0.09,False
162,0.32,False
163,0.32,False
164,0.32,False
165,0.32,False
166,0.32,False
167,0.32,False
168,0.32,False
169,0.32,False
170,0.32,False
171,0.32,False
172,0.32,False
173,0.32,False
174,0.32,False
175,0.35,False
176,0.35,False
177,0.35,False
178,0.68,False
179,0.68,False
180,0.68,False
181,0.68,False
182,0.68,False
183,0.68,False
184,0.68,False
185,0.68,False
186,0.68,False
187,0.68,False
188,0.68,False
189,0.68,False
190,0.68,False
191,0.63,False
192,0.63,False
193,0.63,False
194,0.72,False
195,0.72,False
196,0.72,False
197,0.72,False
198,0.72,False
199,0.72,False
200,0.72,False
201,0.72,False
202,0.72,False
203,0.72,False
204,0.72,False
205,0.72,False
206,0.34,False
207,0.34,False
208,0.34,False
209,0.34,False
210,0.86,False
211,0.86,False
212,0.86,False
213,0.86,False
214,0.86,False
215,0.86,False
216,0.86,False
217,0.86,False
218,0.86,False
219,0.86,False
220,0.86,False
221,0.86,False
222,0.82,False
223,0.82,False
224,0.75,False
225,0.75,False
226,0.75,False
227,0.75,False
228,0.75,False
229,0.75,False
230,0.75,False
231,0.75,False
232,0.75,False
233,0.75,False
234,0.75,False
235,0.75,False
236,0.75,False
237,0.75,False
238,0.12,False
239,0.61,False
240,0.61,False
241,0.61,False
242,0.8,False
243,0.8,False
244,0.8,False
245,0.8,False
246,0.8,False
247,0.8,False
248,0.8,False
249,0.8,False
250,0.8,False
251,0.8,False
252,0.8,False
253,0.8,False
254,0.8,False
255,0.13,False
256,0.13,False
257,0.12,False
258,0.12,False
259,0.12,False
260,0.12,False
261,0.12,False
262,0.12,False
263,0.12,False
264,0.12,False
265,0.12,False
266,0.12,False
267,0.12,False
268,0.12,False
269,0.46,False
270,0.46,False
271,0.46,False
272,0.79,False
273,0.79,False
274,0.79,False
275,0.79,False
276,0.79,False
277,0.79,False
278,0.79,False
279,0.79,False
280,0.79,False
281,0.79,False
282,0.79,False
283,0.79,False
284,0.79,False
285,0.77,False
286,0.77,False
287,0.77,False
288,0.77,False
289,0.77,False
290,0.77,False
291,0.77,False
292,0.77,False
293,0.77,False
294,0.77,False
295,0.77,False
296,0.77,False
297,0.66,False
298,0.13,False
299,0.13,False
300,0.13,False
301,0.13,False
302,0.13,False
303,0.62,False
304,0.62,False
305,0.62,False
306,0.62,False
307,0.62,False
308,0.62,False
309,0.62,False
310,0.62,False
311,0.62,False
312,0.62,False
313,0.62,False
314,0.62,False
315,0.62,False
316,0.56,False
317,0.48,False
318,0.48,False
319,0.48,False
320,0.48,False
321,0.48,False
322,0.48,False
323,0.48,False
324,0.48,False
325,0.48,False
326,0.48,False
327,0.48,False
328,0.19,False
329,0.19,False
330,0.11,False
331,0.11,False
332,0.11,False
333,0.11,False
334,0.11,False
335,0.11,False
336,0.11,False
337,0.11,False
338,0.11,False
339,0.11,False
340,0.11,False
341,0.11,False
342,0.09,False
343,0.09,False
344,0.8,False
345,0.8,False
346,0.8,False
347,0.8,False
348,0.8,False
349,0.8,False
350,0.8,False
351,0.8,False
352,0.8,False
353,0.8,False
354,0.8,False
355,0.8,False
356,0.8,False
357,0.22,False
358,0.22,False
359,0.22,False
360,0.22,False
361,0.22,False
362,0.22,False
363,0.22,False
364,0.22,False
365,0.22,False
366,0.22,False
367,0.22,False
368,0.22,False
369,0.57,False
370,0.57,False
371,0.57,False
372,0.57,False
373,0.57,False
374,0.57,False
375,0.57,False
376,0.57,False
377,0.57,False
378,0.57,False
379,0.57,False
380,0.57,False
381,0.57,False
382,0.49,False
383,0.49,False
384,0.49,False
385,0.38,False
386,0.38,False
387,0.38,False
388,0.38,False
389,0.38,False
390,0.38,False
391,0.38,False
392,0.38,False
393,0.38,False
394,0.72,False
395,0.72,False
396,0.72,False
397,0.72,False
398,0.72,False
399,0.72,False
400,0.72,False
401,0.72,False
402,0.72,False
403,0.72,False
404,0.72,False
405,0.72,False
406,0.72,False
407,0.57,False
408,0.57,False
409,0.57,False
410,0.57,False
411,0.57,False
412,0.82,False
413,0.82,False
414,0.82,False
415,0.82,False
416,0.82,False
417,0.82,False
418,0.82,False
419,0.82,False
420,0.82,False
421,0.82,False
422,0.82,False
423,0.82,False
424,0.82,False
425,0.68,False
426,0.68,False
427,0.68,False
428,0.68,False
429,0.68,False
430,0.68,False
431,0.68,False
432,0.68,False
433,0.68,False
434,0.68,False
435,0.68,False
436,0.68,False
437,0.57,False
438,0.57,False
439,0.72,False
440,0.72,False
441,0.72,False
442,0.72,False
443,0.72,False
444,0.72,False
445,0.72,False
446,0.72,False
447,0.72,False
448,0.72,False
449,0.72,False
450,0.72,False
451,0.72,False
452,0.56,False
453,0.56,False
454,0.56,False
455,0.56,False
456,0.56,False
457,0.26,False
458,0.26,False
459,0.26,False
460,0.26,False
461,0.26,False
462,0.26,False
463,0.26,False
464,0.26,False
465,0.26,False
466,0.74,False
467,0.74,False
468,0.74,False
469,0.74,False
470,0.74,False
471,0.74,False
472,0.74,False
473,0.74,False
474,0.74,False
475,0.74,False
476,0.74,False
477,0.74,False
478,0.74,False
479,0.74,False
480,0.47,False
481,0.47,False
482,0.47,False
483,0.47,False
484,0.47,False
485,0.47,False
486,0.47,False
487,0.58,False
488,0.58,False
489,0.59,False
490,0.59,False
491,0.59,False
492,0.59,False
493,0.59,False
494,0.59,False
495,0.59,False
496,0.59,False
497,0.59,False
498,0.59,False
499,0.59,False
500,0.59,False
501,0.59,False
502,0.59,False
503,0.1,False
504,0.1,False
505,0.1,False
506,0.1,False
507,0.17,False
508,0.17,False
509,0.17,False
510,0.17,False
511,0.17,False
512,0.17,False
513,0.17,False
514,0.17,False
515,0.17,False
516,0.17,False
517,0.17,False
518,0.17,False
519,0.73,False
520,0.73,False
521,0.73,False
522,0.73,False
523,0.73,False
524,0.73,False
525,0.73,False
526,0.73,False
527,0.73,False
528,0.73,False
529,0.73,False
530,0.73,False
531,0.73,False
532,0.6,False
533,0.6,False
534,0.6,False
535,0.6,False
536,0.6,False
537,0.6,False
538,0.6,False
539,0.6,False
540,0.6,False
541,0.6,False
542,0.6,False
543,0.6,False
544,0.6,False
545,0.13,False
546,0.13,False
547,0.13,False
548,0.13,False
549,0.13,False
550,0.11,False
551,0.11,False
552,0.11,False
553,0.66,False
554,0.66,False
555,0.66,False
556,0.66,False
557,0.66,False
558,0.66,False
559,0.66,False
560,0.66,False
561,0.68,False
562,0.68,False
563,0.68,False
564,0.68,False
