iteration_number,reward,is_target_reached
1,0.0,False
2,-0.31,False
3,-0.31,False
4,-0.13,False
5,-0.13,False
6,-0.01,False
7,0.1,False
8,0.1,False
9,0.68,False
10,0.68,False
11,0.68,False
12,0.68,False
13,0.68,False
14,0.68,False
15,0.68,False
16,0.68,False
17,0.68,False
18,0.65,False
19,0.65,False
20,0.65,False
21,0.65,False
22,0.65,False
23,0.74,False
24,0.74,False
25,0.74,False
26,0.74,False
27,0.74,False
28,0.74,False
29,0.74,False
30,0.74,False
31,0.74,False
32,0.74,False
33,0.7,False
34,0.7,False
35,0.7,False
36,0.7,False
37,0.7,False
38,0.63,False
39,0.63,False
40,0.63,False
41,0.63,False
42,0.63,False
43,0.63,False
44,0.63,False
45,0.63,False
46,0.19,False
47,0.19,False
48,0.19,False
49,0.19,False
50,0.19,False
51,0.19,False
52,0.19,False
53,0.19,False
54,0.19,False
55,0.58,False
56,0.58,False
57,0.58,False
58,1.09,False
59,1.09,False
60,1.09,False
61,1.09,False
62,1.09,False
63,1.09,False
64,1.09,False
65,1.09,False
66,1.09,False
67,1.09,False
68,1.09,False
69,0.05,False
70,0.05,False
71,0.05,False
72,0.05,False
73,0.05,False
74,0.05,False
75,0.64,False
76,0.64,False
77,0.64,False
78,0.64,False
79,0.64,False
80,0.64,False
81,0.64,False
82,0.64,False
83,0.64,False
84,0.64,False
85,0.64,False
86,0.2,False
87,0.2,False
88,0.2,False
89,0.2,False
90,0.2,False
91,0.2,False
92,0.2,False
93,0.2,False
94,0.15,False
95,0.15,False
96,0.76,False
97,0.76,False
98,0.76,False
99,0.76,False
100,0.76,False
101,0.76,False
102,0.76,False
103,0.76,False
104,0.76,False
105,0.76,False
106,0.55,False
107,0.55,False
108,0.78,False
109,0.78,False
110,0.78,False
111,0.78,False
112,0.78,False
113,0.78,False
114,0.78,False
115,0.78,False
116,0.78,False
117,0.78,False
118,0.51,False
119,0.51,False
120,0.14,False
121,0.66,False
122,0.66,False
123,0.66,False
124,0.66,False
125,0.66,False
126,0.66,False
127,0.66,False
128,0.66,False
129,0.66,False
130,0.66,False
131,0.6,False
132,0.61,False
133,0.61,False
134,0.61,False
135,0.61,False
136,0.61,False
137,0.61,False
138,0.61,False
139,0.61,False
140,0.61,False
141,0.61,False
142,0.08,False
143,0.12,False
144,0.12,False
145,0.44,False
146,0.44,False
147,0.44,False
148,0.44,False
149,0.44,False
150,0.44,False
151,0.44,False
152,0.44,False
153,0.44,False
154,0.44,False
155,0.68,False
156,0.68,False
157,0.68,False
158,0.68,False
159,0.68,False
160,0.68,False
161,0.68,False
162,0.68,False
163,0.68,False
164,0.68,False
165,0.68,False
166,0.15,False
